time (seconds since 2000-01-01 12:00:00),longwave (W/m^2)
5.2261872E8,1.0712897e-06
5.2261878E8,1.0449318e-06
5.2261884E8,1.0248291e-06
5.226189E8,1.0182104e-06
5.2261896E8,1.0226228e-06
5.2261902E8,1.0315083e-06
5.2261908E8,1.1800441e-06
5.2261914E8,1.5188957e-06
5.226192E8,1.6662981e-06
5.2261926E8,1.7317325e-06
5.2261932E8,1.9663719e-06
5.2261938E8,2.1176763e-06
5.2261944E8,2.1282058e-06
5.226195E8,2.0932953e-06
5.2261956E8,1.9899917e-06
5.2261962E8,1.8660186e-06
5.2261968E8,1.7524970e-06
5.2261974E8,1.6340092e-06
5.226198E8,1.5136224e-06
5.2261986E8,1.4190961e-06
5.2261992E8,1.3465499e-06
5.2261998E8,1.2781567e-06
5.2262004E8,1.2147945e-06
5.226201E8,1.1688832e-06
5.2262016E8,1.1418892e-06
5.2262022E8,1.1260995e-06
5.2262028E8,1.1211247e-06
5.2262034E8,1.1230713e-06
5.226204E8,1.1631080e-06
5.2262046E8,1.1518822e-06
5.2262052E8,1.0927032e-06
5.2262058E8,1.0328753e-06
5.2262064E8,9.8157818e-07
5.226207E8,9.3554144e-07
5.2262076E8,9.0945593e-07
5.2262082E8,9.3415713e-07
5.2262088E8,9.5397002e-07
5.2262094E8,9.6759675e-07
5.22621E8,9.7417649e-07
5.2262106E8,1.0027667e-06
5.2262112E8,1.0374175e-06
5.2262118E8,1.0771298e-06
5.2262124E8,1.1490573e-06
5.226213E8,1.2428569e-06
5.2262136E8,1.2854242e-06
5.2262142E8,1.2716245e-06
5.2262148E8,1.2690722e-06
5.2262154E8,1.2641406e-06
5.226216E8,1.2254666e-06
5.2262166E8,1.1550791e-06
5.2262172E8,1.0821911e-06
5.2262178E8,1.0171722e-06
5.2262184E8,9.5560949e-07
5.226219E8,9.3060987e-07
5.2262196E8,8.8544692e-07
5.2262202E8,8.5223661e-07
5.2262208E8,8.2445104e-07
5.2262214E8,8.0835849e-07
5.226222E8,7.8668552e-07
5.2262226E8,7.7056706e-07
5.2262232E8,7.6851654e-07
5.2262238E8,7.8564727e-07
5.2262244E8,8.0481556e-07
5.226225E8,8.1251142e-07
5.2262256E8,7.9654870e-07
5.2262262E8,7.7483242e-07
5.2262268E8,7.5385157e-07
5.2262274E8,7.3334655e-07
5.226228E8,7.0440598e-07
5.2262286E8,6.7070681e-07
5.2262292E8,6.5236480e-07
5.2262298E8,6.1732459e-07
5.2262304E8,5.8953901e-07
5.226231E8,5.7151283e-07
5.2262316E8,5.6671098e-07
5.2262322E8,5.5792498e-07
5.2262328E8,5.4542733e-07
5.2262334E8,5.3725125e-07
5.226234E8,5.3322816e-07
5.2262346E8,5.2480550e-07
5.2262352E8,5.1285292e-07
5.2262358E8,5.1168490e-07
5.2262364E8,5.1539655e-07
5.226237E8,5.1025734e-07
5.2262376E8,5.0623419e-07
5.2262382E8,5.0298974e-07
5.2262388E8,4.9820954e-07
5.2262394E8,5.0402798e-07
5.22624E8,5.0156217e-07
5.2262406E8,5.0498397e-07
5.2262412E8,5.0428753e-07
5.2262418E8,5.0610441e-07
5.2262424E8,5.1539661e-07
5.226243E8,5.2323520e-07
5.2262436E8,5.2362452e-07
5.2262442E8,5.2803699e-07
5.2262448E8,5.3521808e-07
5.2262454E8,5.2907524e-07
5.226246E8,5.2751790e-07
5.2262466E8,5.3358718e-07
5.2262472E8,5.4867178e-07
5.2262478E8,5.4750376e-07
5.2262484E8,5.5190327e-07
5.226249E8,5.5503091e-07
5.2262496E8,5.4283174e-07
5.2262502E8,5.3997661e-07
5.2262508E8,5.4450157e-07
5.2262514E8,5.4153395e-07
5.226252E8,5.4192327e-07
5.2262526E8,5.4274523e-07
5.2262532E8,5.4399976e-07
5.2262538E8,5.3815972e-07
5.2262544E8,5.3082721e-07
5.226255E8,5.3426635e-07
5.2262556E8,5.5542023e-07
5.2262562E8,6.4834165e-07
5.2262568E8,6.7346679e-07
5.2262574E8,7.0427620e-07
5.226258E8,6.7728223e-07
5.2262586E8,6.2993473e-07
5.2262592E8,5.8929243e-07
5.2262598E8,5.6177942e-07
5.2262604E8,5.4711444e-07
5.226261E8,5.3634716e-07
5.2262616E8,5.1622715e-07
5.2262622E8,5.0921909e-07
