Time [ISO8601],Flare Class,Peak Flux [W/m2]
"2011-02-10T06:36:00Z","C2.6",2.66489e-06
"2011-02-10T06:58:00Z","C2.9",2.92326e-06
"2011-02-10T08:27:00Z","B5.0",5.06283e-07
"2011-02-10T09:28:00Z","B6.1",6.15556e-07
"2011-02-10T12:15:00Z","B6.2",6.21007e-07
"2011-02-10T12:34:00Z","C6.7",6.76963e-06
"2011-02-10T13:52:00Z","C3.7",3.76605e-06
"2011-02-10T14:42:00Z","B9.4",9.43870e-07
"2011-02-10T19:40:00Z","B5.2",5.20299e-07
"2011-02-10T20:39:00Z","B6.3",6.35759e-07
"2011-02-10T20:53:00Z","B7.4",7.47152e-07
"2011-02-10T22:49:00Z","B5.6",5.63905e-07
"2011-02-10T23:25:00Z","B4.1",4.17255e-07
"2011-02-11T04:01:00Z","B4.2",4.27298e-07
"2011-02-11T08:13:00Z","C1.2",1.28150e-06
"2011-02-11T13:21:00Z","B3.9",3.96818e-07
"2011-02-11T13:39:00Z","B4.0",4.04198e-07
"2011-02-11T19:45:00Z","B3.5",3.54666e-07
"2011-02-11T20:15:00Z","B3.3",3.35597e-07
"2011-02-11T21:36:00Z","B4.9",4.96803e-07
"2011-02-11T21:57:00Z","C1.1",1.14744e-06
"2011-02-11T23:12:00Z","C1.3",1.35560e-06
"2011-02-12T01:10:00Z","C1.2",1.21328e-06
"2011-02-12T02:46:00Z","B7.3",7.34135e-07
"2011-02-12T04:21:00Z","B5.2",5.23245e-07
"2011-02-12T06:47:00Z","B4.1",4.14668e-07
"2011-02-12T10:51:00Z","B3.1",3.18195e-07
"2011-02-12T11:51:00Z","B2.6",2.61611e-07
"2011-02-12T12:22:00Z","B2.8",2.89514e-07
"2011-02-12T14:02:00Z","B2.2",2.25533e-07
"2011-02-12T14:25:00Z","B2.7",2.74161e-07
"2011-02-12T15:06:00Z","C3.7",3.76005e-06
"2011-02-12T17:33:00Z","B7.8",7.83875e-07
"2011-02-12T18:26:00Z","B6.5",6.56917e-07
"2011-02-12T18:42:00Z","B6.1",6.11235e-07
"2011-02-12T19:17:00Z","B8.1",8.12603e-07
"2011-02-12T19:59:00Z","B4.3",4.36942e-07
"2011-02-12T20:36:00Z","C1.2",1.25546e-06
"2011-02-13T00:42:00Z","C1.2",1.20722e-06
"2011-02-13T01:08:00Z","B6.4",6.44238e-07
"2011-02-13T03:31:00Z","B7.9",7.91797e-07
"2011-02-13T06:04:00Z","B8.3",8.33975e-07
"2011-02-13T06:28:00Z","B8.0",8.02438e-07
"2011-02-13T07:29:00Z","C2.0",2.03378e-06
"2011-02-13T08:12:00Z","C1.0",1.08029e-06
"2011-02-13T09:23:00Z","C1.7",1.78720e-06
"2011-02-13T09:47:00Z","C1.5",1.55684e-06
"2011-02-13T09:55:00Z","C1.7",1.77348e-06
"2011-02-13T11:53:00Z","C1.3",1.31696e-06
"2011-02-13T12:36:00Z","C1.6",1.66611e-06
"2011-02-13T13:31:00Z","C2.4",2.41636e-06
"2011-02-13T13:56:00Z","C6.7",6.73461e-06
"2011-02-13T17:37:00Z","M9.5",9.50422e-05
"2011-02-13T21:20:00Z","C1.6",1.62212e-06
"2011-02-14T01:37:00Z","C1.3",1.31147e-06
"2011-02-14T02:42:00Z","C2.3",2.38448e-06
"2011-02-14T03:33:00Z","C1.0",1.02518e-06
"2011-02-14T03:48:00Z","C1.1",1.12932e-06
"2011-02-14T04:49:00Z","M1.1",1.19368e-05
"2011-02-14T06:58:00Z","C9.5",9.55065e-06
"2011-02-14T08:48:00Z","C3.5",3.53899e-06
"2011-02-14T12:00:00Z","C2.4",2.49868e-06
"2011-02-14T12:24:00Z","C2.2",2.20473e-06
"2011-02-14T12:47:00Z","M1.0",1.03784e-05
"2011-02-14T14:27:00Z","M1.2",1.21119e-05
